timestamp,n142in
2015-01-01 00:00:00,84
2015-01-01 00:15:00,68
2015-01-01 00:30:00,148
2015-01-01 00:45:00,296
2015-01-01 01:00:00,404
2015-01-01 01:15:00,748
2015-01-01 01:30:00,804
2015-01-01 01:45:00,916
2015-01-01 02:00:00,748
2015-01-01 02:15:00,596
2015-01-01 02:30:00,548
2015-01-01 02:45:00,400
2015-01-01 03:00:00,340
2015-01-01 03:15:00,312
2015-01-01 03:30:00,232
2015-01-01 03:45:00,228
2015-01-01 04:00:00,144
2015-01-01 04:15:00,124
2015-01-01 04:30:00,140
2015-01-01 04:45:00,76
2015-01-01 05:00:00,108
2015-01-01 05:15:00,88
2015-01-01 05:30:00,96
2015-01-01 05:45:00,108
2015-01-01 06:00:00,124
2015-01-01 06:15:00,96
2015-01-01 06:30:00,152
2015-01-01 06:45:00,172
2015-01-01 07:00:00,228
2015-01-01 07:15:00,156
2015-01-01 07:30:00,104
2015-01-01 07:45:00,92
2015-01-01 08:00:00,88
2015-01-01 08:15:00,68
2015-01-01 08:30:00,124
2015-01-01 08:45:00,104
2015-01-01 09:00:00,116
2015-01-01 09:15:00,140
2015-01-01 09:30:00,220
2015-01-01 09:45:00,200
2015-01-01 10:00:00,208
2015-01-01 10:15:00,336
2015-01-01 10:30:00,472
2015-01-01 10:45:00,516
2015-01-01 11:00:00,496
2015-01-01 11:15:00,620
2015-01-01 11:30:00,676
2015-01-01 11:45:00,760
2015-01-01 12:00:00,724
2015-01-01 12:15:00,912
2015-01-01 12:30:00,968
2015-01-01 12:45:00,1097
2015-01-01 13:00:00,1156
2015-01-01 13:15:00,1140
2015-01-01 13:30:00,1312
2015-01-01 13:45:00,1544
2015-01-01 14:00:00,1420
2015-01-01 14:15:00,1500
2015-01-01 14:30:00,1592
2015-01-01 14:45:00,1856
2015-01-01 15:00:00,1600
2015-01-01 15:15:00,1548
2015-01-01 15:30:00,1596
2015-01-01 15:45:00,1644
2015-01-01 16:00:00,1664
2015-01-01 16:15:00,1372
2015-01-01 16:30:00,1324
2015-01-01 16:45:00,1268
2015-01-01 17:00:00,1128
2015-01-01 17:15:00,980
2015-01-01 17:30:00,976
2015-01-01 17:45:00,988
2015-01-01 18:00:00,788
2015-01-01 18:15:00,724
2015-01-01 18:30:00,744
2015-01-01 18:45:00,616
2015-01-01 19:00:00,576
2015-01-01 19:15:00,596
2015-01-01 19:30:00,728
2015-01-01 19:45:00,624
2015-01-01 20:00:00,608
2015-01-01 20:15:00,556
2015-01-01 20:30:00,556
2015-01-01 20:45:00,620
2015-01-01 21:00:00,492
2015-01-01 21:15:00,420
2015-01-01 21:30:00,480
2015-01-01 21:45:00,400
2015-01-01 22:00:00,384
2015-01-01 22:15:00,376
2015-01-01 22:30:00,352
2015-01-01 22:45:00,340
2015-01-01 23:00:00,228
2015-01-01 23:15:00,208
2015-01-01 23:30:00,180
2015-01-01 23:45:00,164
2015-01-02 00:00:00,116
2015-01-02 00:15:00,152
2015-01-02 00:30:00,132
2015-01-02 00:45:00,96
2015-01-02 01:00:00,76
2015-01-02 01:15:00,48
2015-01-02 01:30:00,32
2015-01-02 01:45:00,32
2015-01-02 02:00:00,44
2015-01-02 02:15:00,24
2015-01-02 02:30:00,44
2015-01-02 02:45:00,40
2015-01-02 03:00:00,24
2015-01-02 03:15:00,24
2015-01-02 03:30:00,28
2015-01-02 03:45:00,52
2015-01-02 04:00:00,44
2015-01-02 04:15:00,64
2015-01-02 04:30:00,48
2015-01-02 04:45:00,44
2015-01-02 05:00:00,44
2015-01-02 05:15:00,116
2015-01-02 05:30:00,142
2015-01-02 05:45:00,140
2015-01-02 06:00:00,124
2015-01-02 06:15:00,212
2015-01-02 06:30:00,440
2015-01-02 06:45:00,520
2015-01-02 07:00:00,592
2015-01-02 07:15:00,568
2015-01-02 07:30:00,784
2015-01-02 07:45:00,848
2015-01-02 08:00:00,616
2015-01-02 08:15:00,900
2015-01-02 08:30:00,960
2015-01-02 08:45:00,996
2015-01-02 09:00:00,896
2015-01-02 09:15:00,1008
2015-01-02 09:30:00,892
2015-01-02 09:45:00,1012
2015-01-02 10:00:00,1108
2015-01-02 10:15:00,1120
2015-01-02 10:30:00,1600
2015-01-02 10:45:00,1432
2015-01-02 11:00:00,1476
2015-01-02 11:15:00,1476
2015-01-02 11:30:00,1780
2015-01-02 11:45:00,1780
2015-01-02 12:00:00,1784
2015-01-02 12:15:00,1736
2015-01-02 12:30:00,1796
2015-01-02 12:45:00,1813
2015-01-02 13:00:00,1832
2015-01-02 13:15:00,1796
2015-01-02 13:30:00,2116
2015-01-02 13:45:00,2072
2015-01-02 14:00:00,2088
2015-01-02 14:15:00,1972
2015-01-02 14:30:00,1916
2015-01-02 14:45:00,1724
2015-01-02 15:00:00,1748
2015-01-02 15:15:00,1792
2015-01-02 15:30:00,1564
2015-01-02 15:45:00,1624
2015-01-02 16:00:00,1856
2015-01-02 16:15:00,1756
2015-01-02 16:30:00,1836
2015-01-02 16:45:00,1628
2015-01-02 17:00:00,1668
2015-01-02 17:15:00,1684
2015-01-02 17:30:00,1620
2015-01-02 17:45:00,1448
2015-01-02 18:00:00,1140
2015-01-02 18:15:00,1140
2015-01-02 18:30:00,1044
2015-01-02 18:45:00,848
2015-01-02 19:00:00,792
2015-01-02 19:15:00,836
2015-01-02 19:30:00,740
2015-01-02 19:45:00,728
2015-01-02 20:00:00,716
2015-01-02 20:15:00,632
2015-01-02 20:30:00,624
2015-01-02 20:45:00,588
2015-01-02 21:00:00,628
2015-01-02 21:15:00,644
2015-01-02 21:30:00,544
2015-01-02 21:45:00,540
2015-01-02 22:00:00,560
2015-01-02 22:15:00,532
2015-01-02 22:30:00,524
2015-01-02 22:45:00,492
2015-01-02 23:00:00,420
2015-01-02 23:15:00,332
2015-01-02 23:30:00,396
2015-01-02 23:45:00,260
2015-01-03 00:00:00,280
2015-01-03 00:15:00,264
2015-01-03 00:30:00,240
2015-01-03 00:45:00,196
2015-01-03 01:00:00,232
2015-01-03 01:15:00,120
2015-01-03 01:30:00,80
2015-01-03 01:45:00,72
2015-01-03 02:00:00,128
2015-01-03 02:15:00,104
2015-01-03 02:30:00,80
2015-01-03 02:45:00,36
2015-01-03 03:00:00,56
2015-01-03 03:15:00,80
2015-01-03 03:30:00,72
2015-01-03 03:45:00,48
2015-01-03 04:00:00,44
2015-01-03 04:15:00,32
2015-01-03 04:30:00,44
2015-01-03 04:45:00,36
2015-01-03 05:00:00,68
2015-01-03 05:15:00,92
2015-01-03 05:30:00,40
2015-01-03 05:45:00,116
2015-01-03 06:00:00,128
2015-01-03 06:15:00,196
2015-01-03 06:30:00,260
2015-01-03 06:45:00,300
2015-01-03 07:00:00,324
2015-01-03 07:15:00,260
2015-01-03 07:30:00,200
2015-01-03 07:45:00,316
2015-01-03 08:00:00,312
2015-01-03 08:15:00,444
2015-01-03 08:30:00,668
2015-01-03 08:45:00,772
2015-01-03 09:00:00,708
2015-01-03 09:15:00,736
2015-01-03 09:30:00,916
2015-01-03 09:45:00,972
2015-01-03 10:00:00,968
2015-01-03 10:15:00,1040
2015-01-03 10:30:00,1368
2015-01-03 10:45:00,1404
2015-01-03 11:00:00,1504
2015-01-03 11:15:00,1504
2015-01-03 11:30:00,1464
2015-01-03 11:45:00,1564
2015-01-03 12:00:00,1540
2015-01-03 12:15:00,1552
2015-01-03 12:30:00,1596
2015-01-03 12:45:00,1740
2015-01-03 13:00:00,1636
2015-01-03 13:15:00,1868
2015-01-03 13:30:00,2088
2015-01-03 13:45:00,1944
2015-01-03 14:00:00,1924
2015-01-03 14:15:00,1760
2015-01-03 14:30:00,2008
2015-01-03 14:45:00,1960
2015-01-03 15:00:00,1812
2015-01-03 15:15:00,1936
2015-01-03 15:30:00,1864
2015-01-03 15:45:00,1760
2015-01-03 16:00:00,1664
2015-01-03 16:15:00,1544
2015-01-03 16:30:00,1536
2015-01-03 16:45:00,1600
2015-01-03 17:00:00,1292
2015-01-03 17:15:00,1440
2015-01-03 17:30:00,1504
2015-01-03 17:45:00,1216
2015-01-03 18:00:00,1076
2015-01-03 18:15:00,1080
2015-01-03 18:30:00,1016
2015-01-03 18:45:00,892
2015-01-03 19:00:00,828
2015-01-03 19:15:00,776
2015-01-03 19:30:00,764
2015-01-03 19:45:00,716
2015-01-03 20:00:00,720
2015-01-03 20:15:00,608
2015-01-03 20:30:00,584
2015-01-03 20:45:00,608
2015-01-03 21:00:00,520
2015-01-03 21:15:00,560
2015-01-03 21:30:00,564
2015-01-03 21:45:00,500
2015-01-03 22:00:00,520
2015-01-03 22:15:00,628
2015-01-03 22:30:00,552
2015-01-03 22:45:00,564
2015-01-03 23:00:00,400
2015-01-03 23:15:00,464
2015-01-03 23:30:00,292
2015-01-03 23:45:00,360
2015-01-04 00:00:00,356
2015-01-04 00:15:00,336
2015-01-04 00:30:00,212
2015-01-04 00:45:00,280
2015-01-04 01:00:00,212
2015-01-04 01:15:00,176
2015-01-04 01:30:00,160
2015-01-04 01:45:00,156
2015-01-04 02:00:00,132
2015-01-04 02:15:00,120
2015-01-04 02:30:00,120
2015-01-04 02:45:00,80
2015-01-04 03:00:00,92
2015-01-04 03:15:00,72
2015-01-04 03:30:00,84
2015-01-04 03:45:00,44
