dates,FH,FX,T,SQ,RH,VV,N
2015-01-01,0.855026025395203,0.9393434451361412,1,1,1,0.8844474774378944,1
2015-01-02,1.0609048723864705,0.9572758708397089,1,0.815813282335909,1,0.812436829393378,1
2015-01-03,1,1,1,1,1,0.8447683560124445,0.9346959477319837
2015-01-04,1,1,1,0.9596934153455778,1,0.9586724193785916,1
2015-01-05,1,1,1,1,1,1,0.5137994540047292
2015-01-06,1,1,1,1,1,1,0.7433949243819631
2015-01-07,1,1,1,1.1308663335801383,1,1,1
2015-01-08,0.9520280205132696,0.9487334626776712,1,1,0.4352309886334383,1.0970743465847859,1
2015-01-09,1.01382364537769,0.8596395702636582,1,1,0.5609839740790612,1,1.1851729805627824
2015-01-10,1.0481711165764687,0.8329424599934585,1,1,1,0.9306289245291035,0.6559444341060126
2015-01-11,0.7578721115344601,0.9697106051902701,1,1,1,1.0137023268548295,1.1366862795914041
2015-01-12,0.8318593573071392,0.8254383542541008,1,1,1,1,0.2409190468715063
2015-01-13,0.7924877723877397,1.0623154319064578,1,1,0.7072081205865192,1,0.9818661127213081
2015-01-14,0.90790482182288,0.9969669617423911,1,1,1,0.9482938275946942,1
2015-01-15,1.1201161018369146,1.018376514203536,1,1,0.7131014096290669,0.952543373761522,0.5114489896312089
2015-01-16,1,1,1,1,1,0.9079196506053233,1
2015-01-17,1,1,1,0.8010823204724558,1,0.9523387314059637,0.9156625321227972
2015-01-18,1,1,1,1,1,1,1.027475731137359
2015-01-19,1,1,1,1,1,1,0.6956691935122857
2015-01-20,1,1,1,1,1,1,0.6936106320237738
2015-01-21,1,1,1,1,1,1,1
2015-01-22,1,1,1,1,1,1,1
2015-01-23,1,1,1,1,1,1,0.8085873111765124
2015-01-24,1,1,1,1,0.5323468037414036,1,1.0272040813561565
2015-01-25,1,1,1,1,1,0.9713817701134589,0.34849229233539786
2015-01-26,1,1,1,1,1,1,1
2015-01-27,1,1,1,0.829265214225399,1,0.9168398909389253,1.1664149463596811
2015-01-28,0.7694306403764521,0.6988212800849652,1,1,0.2604496722805602,0.732740120542441,0.8094746899415565
2015-01-29,1.0303370651530228,0.6799264777397345,1,1,0.5563206101168136,0.8673537760401167,0.7002316366676166
2015-01-30,1,1,1,1.097590659280944,1,1.0306236483778728,1
2015-01-31,1,1,1,1,1,0.6193271680470961,1
2015-02-01,1,1,1,1,1,0.9706701079043402,0.7242304072247621
2015-02-02,1,0.7602142561648187,1,0.9132479448396152,1,0.6973207849040369,0.9233121001222414
2015-02-03,1,1,1,0.8540847602370227,1,0.963751790209436,1
2015-02-04,1,1,1,0.7967331196684503,1,0.8756850501497015,1
2015-02-05,1,1,1,0.7900231545405397,0.027392836276470472,1,0.6547874191079118
2015-02-06,1,1,1,1,1,0.9634591984001059,1
2015-02-07,1,1,1,1,1,1,1
2015-02-08,0.9253148607532244,0.7575043138627395,1,0.7323526929411475,1,1,1
2015-02-09,1,1,1,1,1,0.9703475299860821,0.7681663113088094
2015-02-10,1,1,1,1,1,0.9171233523119613,0
2015-02-11,1,1,1,1,1,0.9825622402529248,0
2015-02-12,1,1,1,1,1,1,0
2015-02-13,1,1,1,0.7153876296424909,1,1,1
2015-02-14,1,1,1,1,1,1,0.8428984259054718
2015-02-15,1,1,1,1.088416146332791,1,1,0.7602945929062834
2015-02-16,1,1,1,0.8239527132828349,1,1,0.7785657006804104
2015-02-17,1,1,1,0.6233803787634965,1,1,0.7904164206956027
2015-02-18,1,1,1,1.0370544544241203,1,0.966837200801024,1
2015-02-19,0.9705065773369049,1.1613173608536262,1,0.7758832682257221,1,0.7115183747217069,1
2015-02-20,1,1,1,1,0.7349383432095368,0.83727386233925,0
2015-02-21,1,1,1,1,1,0.9835315841368142,1
2015-02-22,0.803518735544368,0.7708792834387055,1,0.8286179411613027,0,1,1
2015-02-23,0.8972210259058293,0.8426348611229677,1,1.049724048119907,1,1,1
2015-02-24,0.8397888225778634,0.7542776464034946,1,1,1,0.8624440473524009,1
2015-02-25,1,1,1,1,1,0.8172455995986754,1
2015-02-26,1,1,1,1,0.6285600082477463,0.9129386078686479,0
2015-02-27,1,1,1,1.11227314429055,1,0.9315543140057262,1
2015-02-28,0.7120233892792821,0.7589439206032083,1,0.8269385438170638,1,0.7236919045655411,1
2015-03-01,1.0179523030540918,0.9209570822988321,1,1,0.41300730219770015,0.9521305644542686,0.7861193493162476
2015-03-02,1.0456175353387183,1.0935224815330324,1,1.0004263901254702,1,0.9341294620769709,1
2015-03-03,0.8730831840173868,0.9567923708188572,1,0.8922763573772676,1,0.8022026818657915,1
2015-03-04,0.8966072095970125,0.8798575486215281,1,1,1,0.9657958303778637,1
2015-03-05,1,1,1,0.9742886271618034,1,0.905961818695575,1
2015-03-06,1,1,1,1,1,0.9321639854417961,1.1155739561144762
2015-03-07,0.9892080245659891,1,1,0.8509348796538879,1,1,0.9318978977680842
2015-03-08,1,1,1,0.7503842839698832,1,1,1
2015-03-09,1,1,1,0.9614807683994216,1,0.9013029859816343,1
2015-03-10,1,1,1,0.7935445608260076,1,0.8833499674039602,0.9255466644637325
2015-03-11,1,1,1,0.7936676096591849,1,1.0057504238812247,0.8125204447918808
2015-03-12,1,1,1,1,1,0.8995415752920496,1
2015-03-13,1,1,1,1,1,1,1
2015-03-14,1,1,1,1,1,1,1
2015-03-15,1,1,1,1,1,1,0.523096912877417
2015-03-16,1,1,1,0.7607163184457996,1,1,1
2015-03-17,1,1,1,0.9733039194725552,1,1,1
2015-03-18,1,1,1,1,1,1,1.0340998912512525
2015-03-19,1,1,1,0.944439173410094,1,0.7879736280460806,1
2015-03-20,1,1,1,1,1,1,1
2015-03-21,0.9917907538456988,1.0427742451190964,1,1,1,1,1.027475731137359
2015-03-22,1,1,1,0.7177743463979263,1,1,1
2015-03-23,1,1,1,0.829721990326664,1,1,1
2015-03-24,1,1,1,1,1,1,1
2015-03-25,1,1,1,1,1,1,0
2015-03-26,1,0.924781606765113,1,1,0.6276419084570946,0.9178391882508908,0.8681775605379642
2015-03-27,1,1,1,0.8972932260340363,1,0.9444896620169868,0.9961389488071775
2015-03-28,0.7622692262446391,0.7816028287843699,1,1,1,0.7914506690062939,0.2409190468715063
2015-03-29,0.8563599097116548,0.8851672114285964,1,1,0.4732381165222669,0.9584933783222329,0.9357954655993543
2015-03-30,1.0409894115824416,1.0478306301547045,1,0.931845352784732,0.023648337836485706,0.8545253417619949,1
2015-03-31,0.6620394439200027,0.7893776760162899,1,0.9004428884841427,0.13315668339822345,0.9044279420244081,1
2015-04-01,1.0162307953225675,1.055668015630853,1,0.9474916798351889,1,0.8550112571579297,0.7407585080352886
2015-04-02,0.9940831737236974,0.8097974256506043,1,1.0135002679654543,1,0.8994128597855384,1.1122631861298369
2015-04-03,1,1,1,1,1,1,0.7331665328336917
2015-04-04,1,1,1,0.5872540604244633,1,1,1
2015-04-05,1,1,1,1.0603848363216548,1,1,1
2015-04-06,1,1,1,1,1,1,1
2015-04-07,1,1,1,0.9775447780063025,1,1,0.9609158206734161
2015-04-08,1,1,1,0.9952577552830192,1,0.8757064909523848,0.8485928925201898
2015-04-09,1,1,1,0.8482917983615612,1,0.8430248899688574,1
2015-04-10,1,1,1,1.2918236359029738,1,0.8821833993543982,1
2015-04-11,1,0.6437418773791246,1,1,0,0.9290803831158534,1
2015-04-12,0.9774189508494939,0.7979896328069782,1,0.6760082286720599,1,0.8880095346124216,0.8719408067530865
2015-04-13,1,1,1,0.8858563002366492,1,0.7254154604879681,1
2015-04-14,1,1,0.8895960343018076,0.8613713164783607,1,1.0449326459413166,1
2015-04-15,1,1,0.9319653302386003,0.7707706745319041,1,1.0713701173077839,1
2015-04-16,1,1,1,0.8987698751358528,1,0.8601124285429217,1
2015-04-17,1,1,1,1,1,0.9621934212425354,1
2015-04-18,1,1,1,0.7295320514267379,1,0.9013970227048832,1
2015-04-19,1,1,1,1,1,1,1
2015-04-20,1,1,1,1.0177559135095864,1,1,1
2015-04-21,1,1,1,1.0533113750907204,1,1,1
2015-04-22,1,1,1,1,1,0.8551697243989415,0
2015-04-23,1,1,1,0.9539029040952496,1,1,1
2015-04-24,1,1,1,0.8885016423507978,1,1.0863389035682693,1
2015-04-25,1.1080454612390886,0.964003613364129,0.8812129847251606,0.9124701536109767,1,0.9890328510814258,1
2015-04-26,1,1,1,1,1,0.9231272970533313,0.5056146453697417
2015-04-27,1,1,1,0.9672711791741108,1,0.8003912259920408,1
2015-04-28,1,1,1,0.8457930468353219,1,0.8965843736836039,1
2015-04-29,1,1,1,1,1,0.8379746562947046,0.868980697827447
2015-04-30,1,1,1,1.0799476082344512,1,0.5604906917151864,1
2015-05-01,1,1,1,1.0168381104034576,1,0.7463201964962026,1
2015-05-02,1,1,1,1.1888245847524914,1,0.738532386532645,1
2015-05-03,0.8900933933001273,1.0151040769376685,0.8872755347811222,1,1,0.9086516384010801,1
2015-05-04,1,1,0.9291698280960105,0.9972088375401372,1,0.8687163119928961,1
2015-05-05,0.7549394341831596,0.6519614688750152,0.897428054074578,1.0249988189642298,0,0.9479910518367789,1
2015-05-06,0.9516923343256057,0.7743973088623486,0.9774471936893737,0.8365631976528514,0.03120920235803809,0.8317078608087085,0.8262547852816299
2015-05-07,1,1,0.9883114997017852,0.8643640846579614,1,1,1
2015-05-08,1,1,0.8692969509328939,0.7376396113360978,1,0.8579858036334417,0.9409758053936996
2015-05-09,0.9098742193880314,0.8541776091314573,0.9121907131675191,1,1,0.7795252085853309,1
2015-05-10,1,1,0.9273085663353166,1.0122021636958416,1,0.9721538956249783,1
2015-05-11,1,1,0.8920754927603035,0.9434977260525202,1,0.9203983656191915,1
2015-05-12,0.736068118861376,0.975650194773485,0.9894144758191069,0.846755472869677,1,0.9993777364360508,1
2015-05-13,1,1,1,1.0299189503853807,1,1,1
2015-05-14,1,1,0.8882253470404113,0.8884508586828795,1,0.7943726597669732,0.8568684314514823
2015-05-15,1,1,1,0.9319352882821115,1,1.1011709213994958,1
2015-05-16,1,1,0.9683167118119778,0.7955194481803624,1,0.9198857822284613,0.5643124269653744
2015-05-17,1,1,0.9471582220385848,0.7414517775971076,1,0.8671817177379838,1
2015-05-18,0.5948889522025121,0.8681231152385418,1,1,0.13544178901698148,0.94497328278692,1
2015-05-19,1.100184751332063,0.9945693078844546,1,1.0673311480373127,1,1.024258840767707,1
2015-05-20,1,1,1,1.1026144083852403,1,1.0580865349490285,1
2015-05-21,1,1,0.8680108089878016,1.1576107149534427,1,1,1
2015-05-22,1,1,0.9024902216165951,1,1,0.8790093736164962,0.6600232769746874
2015-05-23,1,1,0.8698807689925769,1,1,0.7983011941845154,1
2015-05-24,1,1,0.9297305439032673,0.5864193200890446,1,1,1
2015-05-25,1,1,0.9364751775381135,0.7701321851627712,1,0.868085632090139,0.8520787441518295
2015-05-26,1,1,0.8282235895338809,0.7652955696419589,1,0.9087001200121325,1
2015-05-27,1,1,0.9202400699063292,1.0449390896619364,1,1.1393078897191395,1
2015-05-28,1,1,0.9510891960155674,0.8251230455365784,1,1,1
2015-05-29,1,0.6098779245283289,0.9965176564203485,1,0.6042045170774647,0.8421106607498975,0.8368887705657957
2015-05-30,1,1,0.937955130453703,0.8844268369331912,1,0.9307454409624866,1
2015-05-31,1,0.8775484706140063,0.8509826874782986,1,1,1,0.46597085976570735
2015-06-01,1,1,0.9177092403624122,0.756994359935862,1,0.6381280558246993,1
2015-06-02,1.1619540007380789,1.07281672776384,0.96762970275059,1,1,0.7239357707143119,1
2015-06-03,1,1,0.8496613667861244,0.972829441598116,1,0.9400065884783003,1
2015-06-04,1,1,0.9374114364557126,1.1742165857016553,1,0.943085452931903,1
2015-06-05,1,1,0.8992507188364802,1.0618304890112873,1,0.8364875469039219,1
2015-06-06,1,1,0.8833886034344071,0.8473373608094052,1,0.9838415989691484,1
2015-06-07,1,1,0.9143210386711512,1.1742165857016553,1,0.8652823963875068,1
2015-06-08,0.7797059923805051,1,0.9064350206013078,0.991502606509651,1,0.7928933212035885,1
2015-06-09,1,1,0.9122083294049635,1,1,0.7771065932902743,0.7278041007837069
2015-06-10,1,1,0.9152862311608752,0.8542468840948966,1,0.9079270814940581,1
2015-06-11,0.7234958054013911,1,1.0033041472880395,1,1,0.9110884720872162,1
2015-06-12,1,1,0.8896667076524929,0.8513077502979101,1,0.9719867409262842,1.025586350368751
2015-06-13,1,0.7693399773412005,0.9628630628668112,1,1,0.9047160504355649,1
2015-06-14,1,1,0.9123108522050335,1,1,1,0
2015-06-15,1,1,0.9543051836291646,0.8099575391598057,1,0.9356978783235581,1
2015-06-16,1,1,0.9395904494444418,1,1,1.0229335593222835,1
2015-06-17,1,1,0.9667540396633943,0.8226985905794478,1,0.7940155057991536,0.7472779170747239
2015-06-18,1,1,0.954801420458303,1.01830886978918,1,1,1.0220531109705997
2015-06-19,1,1,1.0089334767237172,1,1,0.8957360097049922,0
2015-06-20,1,1,0.9861157554145101,1,1,1.027847322586485,0.5023471269728952
2015-06-21,1,1,0.9203399305192297,1,0.38771095608780926,0.8725768681842193,0.5264441601444851
2015-06-22,1,1,0.9557690544304082,1,1,1,0.8166391693938669
2015-06-23,1,0.9800161209212849,0.9803705636019454,1,1,0.812075001381837,0.631446826903367
2015-06-24,1,1,0.9595097335868319,0.9337097506393999,1,1,0.5999007353684845
2015-06-25,1,1,0.8789865901355142,1.0130178853119243,1,1,1
2015-06-26,1,1,0.934961980200208,1,1,1,0.8616915394656494
2015-06-27,1,1,0.9498031093967604,0.8629379389374373,1,0.8764859639019157,1
2015-06-28,1,1,0.945630869998333,0.77061069406133,1,0.8667505288027917,1
2015-06-29,1,1,0.9608583445918802,0.882027854646967,1,0.976509027618986,1
2015-06-30,1,1,0.9471080269651924,1,1,0.8734945910894738,1
2015-07-01,1,1,0.9315752153527382,0.7019537053840318,1,0.9086722975381764,1
2015-07-02,1,1,1.0105885535692265,0.6844594041366889,1,0.8717987012835625,1.0177677463368966
2015-07-03,1,1,0.9389185952185696,0.8851327336384177,1,0.879461253165725,1
2015-07-04,1,1,0.9478086155251064,1.0286532925812155,1,0.8240461595724039,1
2015-07-05,1,1,0.9410410355017341,0.9498249695700831,0,0.8104192319479493,1
2015-07-06,1,1,0.867806830507457,0.8714142184746418,1,0.7637550699997625,1
2015-07-07,1,1,0.9306572017791022,1,1,0.678571540787945,1
2015-07-08,0.8816305186031184,1.0798911107394529,1.0003302151748377,1,1,0.8984361451576552,0.8626969728873691
2015-07-09,1,1,0.9737869563190316,0.8380569480728007,1,1.063835822470239,1
2015-07-10,1,1,0.9426748212499463,0.859562380138797,1,1,1
2015-07-11,1,1,0.94766617094573,1.0073471161928214,1,0.9603032632519964,1
2015-07-12,1,0.9326395180593667,1.0104875208426118,1,1,1,0
2015-07-13,1,1,0.9997468308554449,1,1,0.7584538399267078,1.1851729805627824
2015-07-14,1,1,1.03718091575327,1,1,0.7793762301522542,0
2015-07-15,1,1,1.0354570155314315,1,1,0.9818263476935732,1.1851729805627824
2015-07-16,1,1,0.9277776486316309,0.7146888159504986,1,0.8139090162163841,1
2015-07-17,1.024383437289716,0.973932586670928,0.9742512047424066,0.8492034505638079,1,1,1
2015-07-18,1,1,0.9892464157156935,0.814186196076077,1,0.9679999594404898,0.9001453608543549
2015-07-19,1,1,0.9158202075660528,0.9866498196557832,0.15448678618973383,0.8092560806632674,1
2015-07-20,1,1,0.9499247332269516,1,1,0.9335455373389135,0.9579105259131251
2015-07-21,1,1,0.9496664853791944,0.6440021618474738,1,0.9214358561258084,1
2015-07-22,1,1,0.9731688500659138,1.076583137884138,1,0.9505012395433807,1
2015-07-23,1,1,0.9481750415774004,0.7300683927867209,1,0.6822242629288716,0.9748830609618686
2015-07-24,1,1,0.9903611939356367,1,1,1.0803396718856932,0.7691060012634356
2015-07-25,0.5262130839016597,0.6015630993220678,0.9086117136508219,1,0.3517805621265496,0.7138432018457951,0.8337590732560646
2015-07-26,1,1,0.8113780240918873,0.9265273013667934,1,0.9634454680359585,1
2015-07-27,1.0093205069717284,0.8013946730641252,0.9846917159653584,1,0.5178772466431194,0.7668865354087511,0.5056146453697417
2015-07-28,0.9898919161375513,0.7910645269557335,0.9742705991300311,1,0.5042802714562657,0.9196983645430074,0.6713869549586254
2015-07-29,0.9935319702289342,0.9854586742540891,0.9327608042202269,0.8828602307242833,0.6123708998678087,1,0.9748902536474738
2015-07-30,1,1,0.9411578474612596,0.7561015351724821,1,1,1
2015-07-31,1,1,0.931547027915823,0.9294186513403473,1,0.8029452570936187,1
2015-08-01,1,1,0.8953261439393747,0.8428900617542802,1,0.8761848059252765,1
2015-08-02,1,1,0.9481001990233151,1.0016394484498115,1,0.9351737933714488,1
2015-08-03,1,1,0.898062340655511,0.8916488989325586,1,1,1
2015-08-04,1,1,0.9504041419612967,0.4277465739127053,1,1,1
2015-08-05,1,1,0.8554680555009005,0.7584872564262221,1,0.9099589072176278,1
2015-08-06,1,1,0.9328981715534792,0.8704608338978842,1,1,1
2015-08-07,1,1,0.9791936891051196,0.8931740380499026,1,1.072624244950791,1
2015-08-08,1,1,0.943020757504,0.9943108632650139,1,1,1
2015-08-09,1,1,0.9071647991545609,0.7903041309652149,1,0.7575763998509465,1
2015-08-10,1,1,0.9621703867934039,0.93636619881411,1,0.943622192859689,0.6145040096181816
2015-08-11,1,1,0.8587380257850086,1,1,1,0.8888190781767981
2015-08-12,1,1,0.9750168925808274,1.125174829824248,1,1,1
2015-08-13,1,0.799871406938804,0.8927975529553999,0.8094012380023788,0,1.064981258618469,1
2015-08-14,1,1,0.971576039791092,1,1,1.0120922014436489,1
2015-08-15,1,1,1.005554702784812,1,0.5007425093360003,1,0.6513530568380131
2015-08-16,1,1,1.0305399679154315,1,1,0.8899970683867844,0
2015-08-17,1,1,1.0167347244409022,1,0.7675649212452211,0.7951720993950515,0
2015-08-18,1,1,0.976951015547038,1,1,0.7494482635433037,0
2015-08-19,1,1,0.8693588758502203,0.9359705911122164,1,0.9035818519017073,1
2015-08-20,1,1,0.9221694581319547,0.9180918990430122,1,0.7452518477118832,1
2015-08-21,1,1,1.0089579899167058,0.8423573651887989,1,1,1
2015-08-22,1,1,0.9177839402835,0.7994507395463967,1,0.7568538659631261,1
2015-08-23,1,1,0.9402551665479494,0.9909798484768485,0.10428784572082597,0.9124684852702017,1
2015-08-24,1,1,0.9466157772830937,1,0.3541684531590591,0.6741052198934548,1
2015-08-25,1.1177385213468638,1.0829908623357014,1.0130175848795,1,1,0.9295453246615207,0.9284190317349914
2015-08-26,0.7875145725659372,0.72929959267634,0.902424845971676,1,0.49187546333538645,0.8964210289487967,0.9740859006559164
2015-08-27,0.9342900074873597,1,1.0685991110359165,1,0.15511996156017846,0.8984565687301221,0.9097454668780094
2015-08-28,1,1,0.887815876625059,0.8383751738988979,1,1,1
2015-08-29,1,1,0.8982855012799906,1.0326756536815733,1,0.9657059410508808,1
2015-08-30,1,1,0.943476122488049,0.9189812970280935,1,1,1
2015-08-31,1,1,0.9327869443900634,1,0.2514978492346839,1.0109503132003357,1.1851729805627824
2015-09-01,1,1,0.995056835477416,0.9830174177825325,1,1,0.9615604887190639
2015-09-02,1,1,0.9367676864220221,0.810873087311751,0.24460368426155277,0.6469585702470839,1
2015-09-03,1,1,0.8991833793395866,1,1,0.9243813803297095,0.950072699194276
2015-09-04,1.0456415348304557,0.8189477643974407,1.0700476660191878,1,0.6029210771466356,0.8124915528976718,0.868954750017458
2015-09-05,1.0534830766366514,1.0913669062062432,0.9923363904482184,1,1,0.9598786368540297,0.8220124816356537
2015-09-06,0.8547385598806325,0.7789496893638976,0.9801976962875526,1,1,1,1.000322976814923
2015-09-07,1,1,0.9337938204001937,0.8864374985710388,1,1.082905902683477,0.6005501074985845
2015-09-08,1,1,0.9400429769973208,1,1,0.9723798753458104,0.5368760293845031
2015-09-09,1,1,0.9027219890878433,1.118809521413696,1,0.9589757539184028,1
2015-09-10,1,1,0.9174473463549815,0.8947240781011283,1,0.8991274787749441,1
2015-09-11,1,1,0.8741999144841339,1.0518054661181426,1,1,1
2015-09-12,1,1,0.953879001023763,1,1,1.0534478339488447,0.23469649588395733
2015-09-13,1,1,0.9516396949813409,1,1,1,1.0774842303845849
2015-09-14,1,1,0.9064146289295856,1,1,0.7412762457387214,1
2015-09-15,0.8259005392562342,0.786145563360607,0.9408768273351173,1,0.6778618036553151,1,1
2015-09-16,1,1,0.932406779366829,1,1,1,1
2015-09-17,1,1,0.9808959168995866,1,0.5276644966340209,1,0.6857830782486185
2015-09-18,1,1,0.9968959719536818,0.8339502174789692,1,1,1
2015-09-19,1,1,0.9475704850622266,0.9059000681880014,1,0.8960559437684956,1.010000152591428
2015-09-20,1,1,0.8857348228695205,1,1,1,1
2015-09-21,1,1,0.8665701347688279,1,1,1,1
2015-09-22,1,1,0.9082577009308022,0.5416949674815357,1,1,0.9191267183498917
2015-09-23,1,1,0.9220368995941457,1,0.47066124381541574,1,1.1884474659636761
2015-09-24,1,1,1.0457611791218449,1,1,1,0.8490532265127145
2015-09-25,1,1,0.9614294914765603,1.122638413601473,1,1,1
2015-09-26,1,1,1,1.0262099489332186,1,0.8714899043822875,1
2015-09-27,1,1,0.8628482276050279,1.2918236359029738,1,1.1617009980904471,1
2015-09-28,1,1,0.9470098360924768,0.8437410964750209,1,0.8488432296053394,0.8278663887097059
2015-09-29,1,1,0.8760170630713511,1.1888073474356402,1,1,1
2015-09-30,1,1,0.9130627405740749,1.1888073474356402,1,1,1
2015-10-01,1,1,0.9123096618519426,1.1888073474356402,1,1,1
2015-10-02,1,1,0.947994195047296,0.9742664931656976,1,1,1
2015-10-03,1,1,1,1.1217201888504609,1,1,0.7513856467462181
2015-10-04,1,1,0.8310959741370327,0.8510937563404404,1,1.1188084132239826,0.7993433326182826
2015-10-05,1,1,0.9123180830063188,1,1,0.7851150620959932,0.8202989913315443
2015-10-06,1,1,0.980382486481982,1,1,1,1.1156862919034123
2015-10-07,1,1,0.9930126220763235,1,1,0.9802999247792601,0.3637356174950784
2015-10-08,1,1,0.8619198056505405,1,1,0.9849501820504369,1.1268381254965418
2015-10-09,1,1,0.9004334096988051,0.9635278473539595,1,0.9008959769584352,1
2015-10-10,1,1,0.9058137028299995,0.9259039611211731,1,1,0.8070969750901265
2015-10-11,1,1,1,0.92254436683171,1,0.7777413015105723,1
2015-10-12,1,1,1,0.9561455566868771,1,1,1
2015-10-13,1,1,1,0.903300997406848,1,1,0.8031469182058515
2015-10-14,1,1,1,1,1,1,0
2015-10-15,1,1,1,1,0.7175674899064245,1,0
2015-10-16,1,1,1,1,1,1,0
2015-10-17,1,1,1,1,1,1,0
2015-10-18,1,1,1,1,1,1,0.42112391053094733
2015-10-19,1,1,1,1,1,1,0.8180549177012709
2015-10-20,1,1,1,1,1,0.9348971647652174,1
2015-10-21,1,1,1,1,1,0.9779119716233124,0.10933625046150915
2015-10-22,1,1,0.951172423061292,1,1,1,0.5857828678836157
2015-10-23,1,1,1.0206328159656728,1,1,1,0
2015-10-24,1,1,0.9672228359801481,1,1,1,0
2015-10-25,1,1,1,0.5483245984371186,1,1,1
